CID,Name,B3LYPLUMO,SMILES,Minimum Adsorption energy (100),Minimum Adsorption energy (110),Minimum Adsorption energy (111),Optimization score,e_above_hull (eV)
18368005,H9C10N3O4,-2.656809617,CCOC(=O)NC1=C(C=CC(=C1)[N+](=O)[O-])C#N,-1.214775389,-1.783664899,-1.496241334,-2.077518412,
19385145,H8C2S1N1F3,0.66541355,CS(C)(N)(F)(F)F,-4.995929949,-4.368125864,-5.073754174,-2.073594889,
12404055,H7C7N3O3,-2.811845568,CC1=CC(=C(N=C1)C(=O)N)[N+](=O)[O-],-1.726569364,-1.130183841,-1.148772908,-2.073510469,
13223781,C5F8,0.569437687,C(=C(F)F)(C(C(=C(F)F)F)(F)F)F,-5.863076067,-2.466912768,-5.797421928,-2.069849617,
21115273,P1H10C4N1Cl2O1,-1.903771462,CCP(=O)(CC)N(Cl)Cl,-1.916846559,-2.05724402,-2.725434424,-2.068473231,
21731909,H1C5F7,-0.663475717,C1=C(C1(F)F)C(C(F)(F)F)(F)F,-3.344628067,-2.720410027,-4.341119792,-2.066097506,
43321193,H9C14N1O3,-1.973907774,C1=COC(=C1)C(=O)CC(=O)C2=CC=C(C=C2)C#N,-1.961625894,-2.563959059,-1.92586114,-2.062194902,
45117990,H5C6N3O2,-1.512488379,CC1=C(C(=NO1)C#N)C(=O)N,-2.456470828,-2.51747649,-2.859006841,-2.061736549,
18513438,H3C5N1O2F2,-2.402105276,CN1C(=O)C(=C(C1=O)F)F,-2.31493494,-1.408517212,-1.406822527,-2.056098418,
1473057,H5C6S1N4O1F3,-0.94771078,C1=C(NC(=NC1=O)NC(=S)N)C(F)(F)F,-3.208473707,-2.997154741,-3.263437526,-2.052033052,
17908718,H3C8O2F5,-0.346018761,C(C=O)OC1=C(C(=C(C(=C1F)F)F)F)F,-4.113788336,-3.951274535,-3.197845518,-2.050160779,
556634,H9C3S3N1O6,-0.552735171,CS(=O)(=O)N(S(=O)(=O)C)S(=O)(=O)C,-3.738190029,-3.140522577,-3.673229418,-2.035024589,
10331573,H7C6S1N2F5,-0.541660302,C1=CC(=C(C(=C1)S(F)(F)(F)(F)F)N)N,-2.300254535,-4.175887845,-4.100526399,-2.033608281,
17974687,Si1B1Cl5,-2.719562232,B([Si](Cl)(Cl)Cl)(Cl)Cl,-1.27040703,-1.006830619,-1.754941576,-2.031810987,
46861810,H10C11S1N2O2,-2.612512856,CNC1=C(C(=O)C2=C(C1=O)C=CC=N2)SC,-1.479620886,-1.367544044,-1.466495284,-2.025199797,
19004302,H4C8O2F4,-1.062142497,CC(=O)C1=C(C(=C(C(=C1F)F)O)F)F,-3.84148233,-3.422074598,-1.67750271,-2.021247855,
12243489,H6C7O5,-2.30982194,COC1=C(C(=O)C(=O)C1=O)OC,-2.064075145,-1.598162171,-1.508806321,-2.016751576,
72477245,H13C9N3O3,-2.734328271,CCCNC(=O)CC(C=CC#N)[N+](=O)[O-],-1.437909819,-1.19703022,-1.251175234,-2.014850014,
57814515,H7C9N2O2F1,-2.224919588,CC1=C(C=CC(=C1F)[N+](=O)[O-])CC#N,-1.660427942,-1.95389986,-1.766357687,-2.009240709,
14922982,H1C5F9,0.691253101,C(C(C(C(=C(F)F)F)(F)F)(F)F)(F)F,-3.831873491,-4.664643963,-5.628285145,-2.008507216,
23496579,H4C6N2O2,-2.616204027,C1=CN=C(N=C1C=O)C=O,-1.563407257,-1.178548738,-1.453662848,-2.00737182,
20404651,H7C13S1N1,-2.723253402,C1=CC2=CC=C1C3=CC4=C(C=C3)SC2=N4,-0.941307626,-1.564233387,-1.348251714,-2.003925489,
596718,H1C1S1O2F3,0.104327122,C(F)(F)(F)S(=O)O,-3.986429012,-3.114884424,-5.214365785,-2.000449643,
65451999,H7C7S1N3O3,-2.317204281,C1CC1(C(=O)O)NC(=O)C2=CN=NS2,-1.699150343,-1.21699486,-2.123423439,-1.998530247,
15285705,H3C2N1O4,-1.113821599,C(=O)(C(=O)O)NO,-3.098761442,-2.089684093,-3.455781986,-1.997615387,
20461373,C2N1F5,0.174463434,C1(C(N1F)(F)F)(F)F,-4.593038958,-2.898943023,-5.011592722,-1.9966974,
601323,C2Br1Cl1F2,0.26674677,C(=C(F)Br)(F)Cl,-4.54570635,-2.745320173,-5.46978206,-1.993428046,
150187,H2C3Cl4F2,-0.74099437,C(C(F)(F)Cl)C(Cl)(Cl)Cl,-3.54577566,-2.649861305,-3.526846423,-1.990911083,
4248015,H3C6Cl1O1F6,-0.083932078,COC1=C(C(C(C1(F)F)(F)F)(F)F)Cl,-3.50537922,-3.166833825,-5.003124339,-1.987855603,
45081013,H5C8N1O1F4,-1.390672965,C1=CC(=C(C(=C1)F)C(=O)C(F)(F)F)N,-2.714066579,-2.919768931,-2.090645436,-1.982749974,
12127311,H1C5N1O1F4,-0.024870635,C1(=C(NC(=C(C1=O)F)F)F)F,-5.007585506,-3.702340887,-3.105975947,-1.981752374,
46318262,H8C10N3Cl1O1,-1.711821091,C1=CC(=CC=C1C2=NN=CC2=CNO)Cl,-2.141680959,-2.475084944,-2.091278057,-1.973917872,
54395192,H8C10N2O5,-1.656450818,C1=CC(=CC=C1C2=C(N(C(=C2)O)O)O)[N+](=O)[O-],-2.394456009,-2.884873997,-1.571281512,-1.969993995,
