CID,Name,B3LYPLUMO,SMILES,Minimum Adsorption energy (100),Minimum Adsorption energy (110),Minimum Adsorption energy (111),Optimization score,dissociated
68182898,H7C4S1N1O2F2,0.434692112,C1CC1(C(F)F)S(=O)(=O)N,-4.261017778,-3.925106489,-4.301444993,-2.2986076,TRUE
21129166,Si1H6C5O2F6,0.462518271,C[Si]1(OC(C(C(O1)(F)F)(F)F)(F)F)C,-4.405862855,-2.361597813,-5.435821158,-2.26513944,TRUE
69617,H2C3O2F6,0.915686724,C(C(F)(F)F)(C(F)(F)F)(O)O,-3.796512302,-2.895939984,-4.115122867,-2.259105888,TRUE
62456181,H17C9N1O1F4,1.372830135,CNCCCCCOCC(C(F)F)(F)F,-4.515947714,-2.32342034,-2.519725921,-2.246264063,TRUE
10920537,H6C4F4,2.485875024,CC(C(C)(F)F)(F)F,-2.217937452,-1.390240244,-2.391019675,-2.242803741,TRUE
54089680,H10C6O1F4,2.255314379,CCOC(CC(F)(F)F)CF,-2.203942995,-1.996117381,-2.44079318,-2.234466116,TRUE
136215,H4C4F4,0.466493228,C1CC(C1(F)F)(F)F,-4.355139853,-3.528325345,-4.110672547,-2.232269571,TRUE
66730040,H5C4S1F3,-0.885060759,C1CSC(C1F)(F)F,-5.630023589,-4.946642332,-5.369928382,-2.215235338,TRUE
63054808,H10C6O2F4,1.31320286,C(CO)COCC(C(F)F)(F)F,-3.408623638,-2.921617665,-3.012688265,-2.213756358,TRUE
19006646,H3C3O1F5,1.241649255,C(C(O)(F)F)C(F)(F)F,-3.046727932,-2.709348616,-3.784114517,-2.210856472,TRUE
21922272,H2C4F6,-0.77773108,C1C(C(C1(F)F)(F)F)(F)F,-5.72404164,-4.914990075,-4.928045729,-2.205647367,TRUE
71374,H2S1O4,-0.972514192,O[35S](=O)(=O)O,-5.643741733,-4.460948969,-5.914124602,-2.183545455,TRUE
10103753,H11C8O1F3,1.686867795,C1CC2CCC1C2(C(F)(F)F)O,-3.825151366,-2.92868186,-1.275110589,-2.1815912,TRUE
20603313,H6C6O2F6,-0.821458527,COC1(C(C(C1(F)F)(F)F)(OC)F)F,-6.738976289,-3.738969129,-5.034801733,-2.174728595,TRUE
53908403,H3C4F5,-0.415992478,CC1(C(C1(F)F)(F)F)F,-4.874238344,-4.46231849,-4.816794727,-2.150895688,TRUE
1118,H2S1O4,-0.976489148,OS(=O)(=O)O,-5.741088548,-4.507742593,-5.545469869,-2.144138927,TRUE
62456174,H17C9N1O1F4,1.655066679,CCCNCC(C)OCC(C(F)F)(F)F,-3.223848033,-1.96674516,-2.521127596,-2.112820138,TRUE
67895,H6C3F2,2.640905645,CC(C)(F)F,-1.803659239,-0.787617801,-2.107309996,-2.103550662,TRUE
53903785,H6C5F4,-0.495494536,CC(CF)(C(=CF)F)F,-4.977625043,-4.365509035,-4.705365887,-2.093669393,TRUE
68182,H7C4O1F3,1.142270951,CC(C)(C(F)(F)F)O,-3.510875827,-2.613568801,-2.916388762,-2.077941041,TRUE
62456738,H17C9N1O1F4,1.551711958,CC(C)CNCCOCC(C(F)F)(F)F,-2.54328503,-2.698102552,-2.560416567,-2.07615667,TRUE
69041568,B1H2C2O2F3,0.927611595,B1(OCC(O1)(F)F)F,-3.629079422,-2.489305621,-3.538123931,-2.07322396,TRUE
21865247,H5C3S1N1O1,-0.213259453,C1NOC=CS1,-4.689062897,-3.13380341,-5.122934722,-2.051003778,TRUE
18614771,H3C3N2F1,-0.718103806,C1=CN(N=C1)F,-4.87487874,-3.830039758,-5.657971867,-2.034763158,TRUE
57641976,H14C7S1N1O2F1,-0.233134237,C1CCCN(CCC1)S(=O)(=O)F,-4.824224004,-3.898564111,-4.129104583,-2.025414998,TRUE
18182963,H3C5F9,0.331337391,CC(C(C(F)(F)F)(F)F)(C(F)(F)F)F,-4.026346485,-3.454541166,-3.658636506,-2.022256055,TRUE
22056712,H3C5O1F5,-0.924811788,C=COC1(C(C1(F)F)(F)F)F,-4.97026373,-5.438274449,-4.420860757,-2.009160595,TRUE
21813598,H3C4O1F5,-0.392141276,COC1(C(C1(F)F)(F)F)F,-4.87247644,-3.729231703,-4.617943372,-2.007204615,TRUE
62455622,H17C9N1O1F4,1.523885799,CCNCCCCOCC(C(F)F)(F)F,-2.541607646,-2.547048747,-2.350908096,-2.001870314,TRUE
64900086,H13C7N1O2F4,0.736804901,C(CO)C(COCC(C(F)F)(F)F)N,-4.71298513,-3.147358666,-1.78723822,-1.976332787,TRUE
53872697,H10C6O1F4,1.468233482,COC(CC(F)F)CC(F)F,-3.007224877,-2.244043119,-2.175335947,-1.971884065,TRUE
64811868,H11C6N1O2F4,1.078667259,C(C(COCC(C(F)F)(F)F)N)O,-3.091016084,-3.067956453,-2.424229754,-1.969867345,TRUE
61170290,H16C8N1O1F3,2.004880411,CCCCOCCNCC(F)(F)F,-1.928872254,-2.231419203,-1.610697163,-1.964271642,TRUE
21473337,H5C4O1F3,2.144011205,C1CC1OC(F)(F)F,-1.826339688,-1.376355103,-2.139983933,-1.962452057,TRUE
64291950,H17C9N1O1F4,1.559661872,C(CCCOCC(C(F)F)(F)F)CCN,-2.469142035,-2.137791968,-2.427341474,-1.952210182,TRUE
22378275,H4C3N1O1F3,-0.606799171,C(C(=C(F)F)F)ON,-4.403193993,-3.696521484,-5.39984277,-1.946526789,TRUE
19795129,H4C7N1F7,-0.475619752,C1=CNC=C1C(C(C(F)(F)F)(F)F)(F)F,-4.73342094,-4.742740355,-3.513142566,-1.927074101,TRUE
267297,H12C7Cl1F1,-0.105929775,CC1(C(C1(F)Cl)(C)C)C,-4.357902987,-3.649539592,-3.799304301,-1.914826259,TRUE
23235927,Si1C2F8,-0.837358355,C(C(F)(F)[Si](F)(F)F)(F)(F)F,-4.547779011,-4.881581766,-4.535219099,-1.908750802,TRUE
4347685,H6C5N2F4,-0.511395824,C1C(C(C1(F)F)(F)F)C(=N)N,-4.798201789,-4.405201811,-3.736537263,-1.900958898,TRUE
18520935,H5C4F1,2.458048865,C1C2C1(C2)F,-1.842814465,-1.145422586,-1.032646094,-1.899171623,TRUE
64721276,H14C8O2F4,1.36487876,CC(CC(C)OCC(C(F)F)(F)F)O,-2.395138821,-3.007980775,-1.87900593,-1.896126968,TRUE
62455813,H17C9N1O1F4,1.44438228,CC(CCCNC)OCC(C(F)F)(F)F,-2.065958615,-2.312864034,-2.602312654,-1.885713691,TRUE
66729398,H9C7N3F4,0.18823164,C1C(CN2CC(CN=C2N1)(F)F)(F)F,-3.796193729,-3.626107792,-3.314265805,-1.883543708,TRUE
23333971,B1H5C2N1F3,-0.801582282,B(CCNF)(F)F,-4.493654104,-4.054897735,-5.106903932,-1.875118154,TRUE
66729989,H6C5S1F4,-0.817483571,C1C(SCC1(C(F)F)F)F,-4.926627353,-4.418573798,-4.222306382,-1.85250947,TRUE
542706,H2C1N1F3,1.694817708,C(N)(F)(F)F,-1.823605812,-1.052021939,-3.096507597,-1.842764745,TRUE
45790485,H7C5F3,2.501774851,C1CC1CC(F)(F)F,-1.693267185,-0.892341153,-0.96271912,-1.842275335,TRUE
21922273,H4C4F4,0.661276339,C1C(CC1(F)F)(F)F,-3.165705205,-2.532783739,-3.340400049,-1.837119668,TRUE
62597475,H17C9N1O1F4,1.48413477,CCC(C)NCCOCC(C(F)F)(F)F,-1.409061038,-2.136752332,-2.984002971,-1.830370108,TRUE
20568200,H7C4N1,2.680656674,C1C2CN1C2,-1.445547401,-0.956315432,-0.535107278,-1.829823356,TRUE
61492548,H16C8N1O1F3,1.917426978,CCC(C)NCCOCC(F)(F)F,-1.452065958,-1.991203268,-1.761110985,-1.826110191,TRUE
70150584,B2H12C6O6,1.030966316,B12OCCOB(OCCO1)OCCO2,-2.567389306,-2.310744776,-2.962571349,-1.822267397,TRUE
6395,H4C1S1O3,0.061027178,CS(=O)(=O)O,-3.897093607,-2.396678037,-4.415996066,-1.815474874,TRUE
68650182,H9C6F3,1.555686915,CC1(C(C1(F)F)(C)F)C,-2.089884099,-1.777188163,-2.253677356,-1.797968394,TRUE
10844342,H4C1S1O3,0.057052221,C[35S](=O)(=O)O,-3.838459917,-2.358737981,-4.308420958,-1.779462587,TRUE
69610,P1H3C1O1F2,0.808357046,CP(=O)(F)F,-2.393916541,-1.916249498,-3.774266869,-1.751584008,TRUE
45120387,H6C6O4,1.142270951,C12C(O1)C3C(O3)OC4C2O4,-2.258571767,-2.43524454,-2.357596718,-1.74637098,TRUE
62065537,H14C8N1O2F3,0.844133119,CCCN(CC(F)(F)F)C(=O)OCC,-2.964846944,-2.689240653,-2.283505015,-1.744998661,TRUE
575679,P1H3C1S1F2,-0.77773108,CP(=S)(F)F,-4.535055594,-3.646597288,-4.607783851,-1.742707249,TRUE
21829003,H10C5S1N4O2,1.007115114,C1N2C[15N]3CN(S2(=O)=O)C[15N]1C3,-2.386065992,-2.672568154,-2.366382596,-1.741060348,TRUE
339038,H12C10O2,1.48413477,C1CC2CC1C34C25C(O5)CC3O4,-2.759826917,-1.546320623,-1.686025844,-1.740762949,TRUE
69821896,H14C7N1O1F1,2.227489681,CC(C)(N1CCOCC1)F,-1.408768471,-1.294843629,-1.04757394,-1.738942514,TRUE
557196,P1H6C2O1F1,1.376805092,CP(=O)(C)F,-2.389908373,-1.23380499,-2.618063109,-1.728698624,TRUE
19087430,H12C8O1F6,1.619289146,CC(C)(C(F)(F)F)OC(C)(C)C(F)(F)F,-2.838361263,-1.341334859,-1.313864294,-1.725237976,TRUE
21633585,H10C7F2,2.024755196,C1CC2CC1CC2(F)F,-1.774327766,-1.197524353,-1.279439139,-1.720926141,TRUE
66730138,H6C5S1F4,-0.845309729,C1C(C(CS1)(F)F)C(F)F,-4.683861705,-3.934303271,-4.225572286,-1.717968012,TRUE
63665013,H11C7Cl1O2F4,-0.145680804,C(COCC(C(F)F)(F)F)OCCCl,-3.648954478,-3.592829438,-3.411682268,-1.702737295,TRUE
21732466,H13C8N1O1F4,1.341029019,CC(C)(C)N1CC(OC(C1)(F)F)(F)F,-1.796276391,-1.253952106,-3.067290543,-1.690101016,TRUE
21766438,H7C4N1,2.219538307,CC12CN1C2,-1.030167186,-0.623711828,-1.685084093,-1.666263005,TRUE
